id_restaurante,nombre,n_resenas,valoracion_google,avg_estrellas_modelo,pct_positivo,pct_neutro,pct_negativo,n_resenas_negativas,n_baja_confianza,estrellas_5,estrellas_4,estrellas_3,estrellas_2,estrellas_1,servicio_menciones,comida_menciones,ambiente_menciones,precio_menciones,velocidad_menciones,ruido_menciones,limpieza_menciones,servicio_pct,comida_pct,ambiente_pct,precio_pct,velocidad_pct,ruido_pct,limpieza_pct,servicio_pos,comida_pos,ambiente_pos,precio_pos,velocidad_pos,ruido_pos,limpieza_pos,servicio_neg,comida_neg,ambiente_neg,precio_neg,velocidad_neg,ruido_neg,limpieza_neg,servicio_avg_stars,comida_avg_stars,ambiente_avg_stars,precio_avg_stars,velocidad_avg_stars,ruido_avg_stars,limpieza_avg_stars,servicio_rep,comida_rep,ambiente_rep,precio_rep,velocidad_rep,ruido_rep,limpieza_rep,top5_platos,personal_destacado,terminos_tfidf
49,Pampa Beef,91,4.7,4.275,81.3,6.6,12.1,11,30,60,14,6,4,7,58,67,19,30,11,0,1,63.7,73.6,20.9,33.0,12.1,0.0,1.1,48,55,18,23,10,0,1,7,6,0,4,1,0,0,4.29,4.36,4.58,4.2,4.18,,5.0,True,True,True,True,True,False,False,"lomo alto(10), chorizo(9), carnes(9), parrilla(7), pan(6)",,"carne, comida, lugar, excelente, madrid"
50,Ichikani Madrid,91,4.9,4.78,95.6,1.1,3.3,3,9,81,6,1,0,3,73,72,16,10,4,4,0,80.2,79.1,17.6,11.0,4.4,4.4,0.0,71,70,15,9,3,4,0,1,1,0,0,1,0,0,4.85,4.83,4.81,4.8,4.0,5.0,,True,True,True,True,False,False,False,,"Jenny(26), Lula(8), Mikel(7), Carlos(6), Jazmin(4)","comida, jenny, atención, buena, servicio"
51,Origen Taberna,90,4.6,4.578,91.1,5.6,3.3,3,16,64,18,5,2,1,64,80,19,21,12,0,1,71.1,88.9,21.1,23.3,13.3,0.0,1.1,58,74,17,17,9,0,1,2,2,1,2,1,0,0,4.58,4.6,4.53,4.33,4.08,,5.0,True,True,True,True,True,False,False,"tarta de queso(9), tomate(8), medias raciones(7), pez mantequilla(6), postres(5)",,"comida, servicio, platos, carta, excelente"
52,Eiffel Restaurante,90,4.7,4.9,97.8,1.1,1.1,1,10,84,4,1,1,0,67,74,12,25,8,3,0,74.4,82.2,13.3,27.8,8.9,3.3,0.0,66,72,12,23,8,3,0,0,1,0,1,0,0,0,4.94,4.91,5.0,4.72,4.88,5.0,,True,True,True,True,False,False,False,"rabo de toro(10), gluten(7), sala(6), postres(6), croquetas(6)",Miguel(17),"comida, trato, atención, calidad, gracias"
53,Restaurante Morgana,90,4.7,4.389,81.1,10.0,8.9,8,18,62,11,9,6,2,62,82,23,23,6,1,1,68.9,91.1,25.6,25.6,6.7,1.1,1.1,52,67,17,16,2,1,1,2,7,4,5,1,0,0,4.5,4.4,4.13,3.96,3.5,5.0,5.0,True,True,True,True,False,False,False,"tarta de queso(11), tortilla(8), brioche de cocido(7), carne(6), postre(6)",Morgana(6),"comida, platos, servicio, calidad, excelente"
54,Zenith Caffè - Desengaño,90,4.9,4.722,95.6,1.1,3.3,3,9,74,12,1,1,2,70,73,25,13,8,5,3,77.8,81.1,27.8,14.4,8.9,5.6,3.3,67,71,24,10,8,4,3,2,1,0,2,0,0,0,4.71,4.78,4.76,4.08,4.75,4.4,5.0,True,True,True,True,False,False,False,"desayuno(8), café(7), bonito(6), platillos(4)","Gigi(36), José(6)","comida, lugar, gigi, excelente, servicio"
55,Hotaru Madrid,90,4.8,4.578,87.8,4.4,7.8,7,10,74,5,4,3,4,73,70,20,11,5,2,2,81.1,77.8,22.2,12.2,5.6,2.2,2.2,65,61,17,9,4,1,1,5,5,2,1,1,0,1,4.62,4.56,4.55,4.36,4.2,4.0,3.0,True,True,True,True,False,False,False,"nigiris(6), gyozas(4), wagyu(4)","Daniel(14), Mayra(10), Pedro(6), Fátima(6), Sergio(5)","experiencia, comida, servicio, excelente, calidad"
56,Camino Sacramento,91,4.8,4.813,94.5,2.2,3.3,3,8,85,1,2,0,3,73,55,12,4,7,0,1,80.2,60.4,13.2,4.4,7.7,0.0,1.1,72,52,12,4,7,0,1,1,1,0,0,0,0,0,4.93,4.84,5.0,5.0,5.0,,5.0,True,True,True,False,False,False,False,"hamburguesa(20), carnes(7), vino(5)","Yamel(18), David(16), Andrés(11), Nina(7), Nixon(7)","comida, excelente, atención, carne, servicio"
57,Asado Central,90,4.8,4.678,93.3,2.2,4.4,4,15,73,11,2,2,2,72,55,7,8,10,2,0,80.0,61.1,7.8,8.9,11.1,2.2,0.0,69,53,4,6,8,2,0,2,2,2,1,2,0,0,4.74,4.75,3.57,4.25,4.0,5.0,,True,True,False,False,True,False,False,"parrilla(4), entrecot(4), steak tartare(3)","Laura(11), Erik(6), Valentina(5), Rubén(4), Iker(3)","comida, excelente, atención, servicio, carne"
58,Toga,90,4.7,4.522,92.2,4.4,3.3,3,26,58,25,4,2,1,66,75,31,20,11,4,1,73.3,83.3,34.4,22.2,12.2,4.4,1.1,63,70,30,19,9,4,1,1,2,0,0,1,0,0,4.58,4.53,4.65,4.55,4.27,5.0,4.0,True,True,True,True,True,False,False,"atún rojo(9), noodles con atún(9), pollo(6), postres(6), carpaccio de setas(6)",,"noodles, comida, platos, servicio, buena"
